Group,Litter.Number,Sex,GD.of.DOB,PD.ears,PD.walk
Con7,85,1,20,4,11
Con7,85,1,20,4,12
Con7,1/2/95/2,1,19,5,9
Con7,1/2/95/2,1,19,5,10
Con7,5/5/3/83/3-3,1,19,5,10
Con7,5/5/3/83/3-3,1,19,5,9
Con7,5/4/2/95/2,1,19,NA,9
Con7,4/2/95/3-3,1,20,4,8
Con7,4/2/95/3-3,1,20,4,9
Con7,2/2/95/3-2,1,20,4,10
Con7,1/5/3/83/3-3/2,1,20,4,9
Con7,1/5/3/83/3-3/2,1,20,4,9
Con7,1/5/3/83/3-3/2,1,20,4,9
Con7,1/5/3/83/3-3/2,1,20,4,9
Con7,1/5/3/83/3-3/2,1,20,4,9
Con7,85,2,20,4,11
Con7,1/2/95/2,2,19,4,9
Con7,1/2/95/2,2,19,4,10
Con7,1/2/95/2,2,19,5,10
Con7,1/2/95/2,2,19,5,10
Con7,1/2/95/2,2,19,5,10
Con7,5/5/3/83/3-3,2,19,5,10
Con7,5/5/3/83/3-3,2,19,5,10
Con7,5/5/3/83/3-3,2,19,5,10
Con7,5/4/2/95/2,2,19,NA,10
Con7,5/4/2/95/2,2,19,NA,10
Con7,5/4/2/95/2,2,19,NA,10
Con7,4/2/95/3-3,2,20,4,7
Con7,4/2/95/3-3,2,20,4,9
Con7,4/2/95/3-3,2,20,4,8
Con7,4/2/95/3-3,2,20,4,9
Con7,2/2/95/3-2,2,20,4,10
Con7,2/2/95/3-2,2,20,4,10
Con7,2/2/95/3-2,2,20,4,11
Con7,1/5/3/83/3-3/2,2,20,4,9
Con7,1/5/3/83/3-3/2,2,20,4,9
Con7,1/5/3/83/3-3/2,2,20,4,9
Con7,1/5/3/83/3-3/2,2,20,4,9
Con8,3/83/3-3,1,20,3,7
Con8,3/83/3-3,1,20,3,7
Con8,3/83/3-3,1,20,3,7
Con8,3/83/3-3,1,20,3,8
Con8,3/83/3-3,1,20,4,9
Con8,2/95/3,1,20,4,9
Con8,2/95/3,1,20,3,8
Con8,2/95/3,1,20,3,8
Con8,2/95/3,1,20,3,8
Con8,3/5/2/2/95,1,20,4,8
Con8,3/5/2/2/95,1,20,4,8
Con8,3/5/2/2/95,1,20,4,8
Con8,3/5/2/2/95,1,20,4,8
Con8,5/4/3/83/3,1,19,4,10
Con8,5/4/3/83/3,1,19,4,9
Con8,5/4/3/83/3,1,19,4,9
Con8,5/4/3/83/3,1,19,4,10
Con8,5/4/3/83/3,1,19,4,9
Con8,1/6/2/2/95-2,1,20,3,9
Con8,1/6/2/2/95-2,1,20,4,9
Con8,3/5/3/83/3-3-2,1,20,4,10
Con8,3/5/3/83/3-3-2,1,20,4,9
Con8,3/5/3/83/3-3-2,1,20,4,10
Con8,3/5/3/83/3-3-2,1,20,4,10
Con8,2/2/95/2,1,19,5,9
Con8,2/2/95/2,1,19,4,11
Con8,3/6/2/2/95-3,1,20,3,9
Con8,3/6/2/2/95-3,1,20,3,9
Con8,3/6/2/2/95-3,1,20,3,8
Con8,3/6/2/2/95-3,1,20,3,8
Con8,3/6/2/2/95-3,1,20,3,8
Con8,3/83/3-3,2,20,3,8
Con8,3/83/3-3,2,20,3,7
Con8,3/83/3-3,2,20,3,8
Con8,2/95/3,2,20,3,9
Con8,2/95/3,2,20,3,8
Con8,2/95/3,2,20,4,9
Con8,2/95/3,2,20,3,8
Con8,3/5/2/2/95,2,20,4,9
Con8,3/5/2/2/95,2,20,4,7
Con8,3/5/2/2/95,2,20,3,9
Con8,3/5/2/2/95,2,20,4,9
Con8,5/4/3/83/3,2,19,4,9
Con8,5/4/3/83/3,2,19,4,10
Con8,5/4/3/83/3,2,19,4,9
Con8,1/6/2/2/95-2,2,20,3,9
Con8,1/6/2/2/95-2,2,20,3,8
Con8,1/6/2/2/95-2,2,20,4,9
Con8,1/6/2/2/95-2,2,20,4,10
Con8,3/5/3/83/3-3-2,2,20,4,9
Con8,3/5/3/83/3-3-2,2,20,4,9
Con8,3/5/3/83/3-3-2,2,20,4,10
Con8,3/5/3/83/3-3-2,2,20,4,9
Con8,2/2/95/2,2,19,4,8
Con8,2/2/95/2,2,19,4,11
Con8,3/6/2/2/95-3,2,20,3,8
Con8,3/6/2/2/95-3,2,20,3,9
Low7,84/2,1,20,3,8
Low7,84/2,1,20,3,10
Low7,84/2,1,20,3,7
Low7,107,1,20,4,11
Low7,107,1,20,4,11
Low7,107,1,20,4,12
Low7,107,1,20,4,11
Low7,107,1,20,4,11
Low7,107,1,20,4,11
Low7,107,1,20,4,12
Low7,85/2,1,20,4,11
Low7,85/2,1,20,4,12
Low7,98,1,20,3,10
